id,title,category,description,time_start,time_end,price,color,order,day_id,service_id,image
554,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,16:00:00,17:00:00,5269,#6BA368,1,453,34,
555,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,18:00:00,19:00:00,1474,#A68BFF,2,453,,
556,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,14:00:00,15:30:00,4339,#6BA368,0,454,34,
557,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,11:30:00,3096,#4FB3BF,0,455,34,
558,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,10:00:00,11:30:00,3618,#6BA368,0,456,34,
559,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,2998,#E9B949,1,456,43,
560,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,13:00:00,14:30:00,1726,#A68BFF,0,457,,
561,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,17:00:00,3740,#E9B949,1,457,43,
562,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",09:00:00,10:00:00,2930,#7AA2F7,0,458,37,
563,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,13:00:00,2466,#C88B3A,1,458,,
564,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",13:00:00,15:00:00,1593,#C88B3A,2,458,,
565,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,09:00:00,11:00:00,3266,#E9B949,0,459,43,
566,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:00:00,1676,#C88B3A,1,459,,
567,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:30:00,3369,#E9B949,2,459,43,
568,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,14:30:00,4655,#6BA368,0,460,34,
569,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,17:00:00,4293,#6BA368,1,460,34,
570,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,09:00:00,11:00:00,1075,#A68BFF,0,461,,
571,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,13:00:00,1150,#A68BFF,1,461,,
572,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,14:30:00,4754,#6BA368,2,461,34,
573,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,09:00:00,11:00:00,4488,#6BA368,0,462,34,
574,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,11:00:00,13:00:00,5244,#6BA368,1,462,34,
575,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,16:30:00,3771,#6BA368,0,463,34,
576,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,19:00:00,4276,#6BA368,1,463,34,
577,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:30:00,1270,#A68BFF,0,464,,
578,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,16:00:00,17:00:00,5287,#6BA368,1,464,34,
579,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",18:00:00,19:00:00,1896,#7AA2F7,2,464,37,
580,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,11:00:00,3793,#4FB3BF,0,465,34,
581,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",09:00:00,10:30:00,3020,#7AA2F7,0,466,37,
582,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,13:00:00,2314,#7AA2F7,1,466,37,
583,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,10:00:00,2634,#4FB3BF,0,467,34,
584,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,12:00:00,2946,#4FB3BF,1,467,34,
585,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,12:00:00,13:30:00,2628,#4FB3BF,2,467,34,
586,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,14:00:00,15:30:00,3213,#6BA368,0,468,34,
587,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,16:00:00,18:00:00,2939,#4FB3BF,1,468,34,
588,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,10:00:00,11:00:00,1791,#A68BFF,0,469,,
589,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,12:00:00,13:30:00,3708,#4FB3BF,1,469,34,
590,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,16:00:00,1103,#A68BFF,2,469,,
591,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,15:00:00,5372,#6BA368,0,470,34,
592,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,14:00:00,2029,#7AA2F7,0,471,37,
593,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,13:00:00,4186,#6BA368,0,472,34,
594,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:00:00,987,#A68BFF,1,472,,
595,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,17:00:00,3057,#E9B949,0,473,43,
596,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,19:00:00,5146,#6BA368,1,473,34,
597,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,19:00:00,20:00:00,1171,#A68BFF,2,473,,
598,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,11:00:00,12:00:00,4584,#6BA368,0,474,34,
599,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,12:00:00,907,#A68BFF,0,475,,
600,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,08:00:00,09:00:00,3328,#6BA368,0,476,34,
601,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,09:00:00,10:00:00,1185,#A68BFF,0,477,,
602,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,11:00:00,12:30:00,2838,#4FB3BF,1,477,34,
603,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,12:00:00,3580,#4FB3BF,0,478,34,
604,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,13:00:00,2768,#7AA2F7,1,478,37,
605,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",14:00:00,15:00:00,1993,#7AA2F7,2,478,37,
606,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",14:00:00,15:30:00,2041,#C88B3A,0,479,,
607,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,10:00:00,3723,#4FB3BF,0,480,34,
608,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,10:00:00,11:00:00,3624,#E9B949,1,480,43,
609,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:00:00,3192,#E9B949,0,481,43,
610,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,17:00:00,5037,#6BA368,1,481,34,
611,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,18:30:00,3951,#6BA368,2,481,34,
612,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,16:00:00,5015,#6BA368,0,482,34,
613,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,17:00:00,18:00:00,951,#A68BFF,1,482,,
614,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,08:00:00,09:00:00,3140,#E9B949,0,483,43,
615,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",10:00:00,11:30:00,2785,#7AA2F7,1,483,37,
616,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,13:30:00,3440,#6BA368,2,483,34,
617,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,15:30:00,3343,#E9B949,0,484,43,
618,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,14:00:00,2938,#7AA2F7,0,485,37,
619,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,16:00:00,3396,#4FB3BF,1,485,34,
620,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:00:00,1319,#C88B3A,0,486,,
621,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,09:30:00,2517,#4FB3BF,0,487,34,
622,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,10:00:00,12:00:00,3776,#E9B949,1,487,43,
623,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,12:00:00,14:00:00,1061,#A68BFF,2,487,,
624,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,12:00:00,2966,#7AA2F7,0,488,37,
625,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,15:00:00,3362,#6BA368,1,488,34,
626,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,16:00:00,1329,#A68BFF,2,488,,
627,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",13:00:00,14:00:00,2571,#C88B3A,0,489,,
628,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,15:00:00,16:30:00,2888,#4FB3BF,1,489,34,
629,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",17:00:00,18:30:00,1468,#C88B3A,2,489,,
630,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,13:30:00,1948,#7AA2F7,0,490,37,
631,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,15:30:00,4072,#E9B949,1,490,43,
632,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,16:00:00,17:00:00,975,#A68BFF,2,490,,
633,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,12:30:00,1035,#A68BFF,0,491,,
634,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",13:00:00,14:00:00,1700,#C88B3A,1,491,,
635,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",15:00:00,16:30:00,1523,#C88B3A,2,491,,
636,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,12:00:00,14:00:00,1441,#A68BFF,0,492,,
637,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,16:00:00,3935,#E9B949,1,492,43,
638,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,09:00:00,10:30:00,3672,#6BA368,0,493,34,
639,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,11:00:00,13:00:00,3933,#E9B949,1,493,43,
640,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",12:00:00,14:00:00,1631,#C88B3A,0,494,,
641,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,13:00:00,15:00:00,4281,#6BA368,0,495,34,
642,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,16:30:00,1157,#A68BFF,1,495,,
643,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,17:00:00,18:00:00,4099,#E9B949,2,495,43,
644,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,09:00:00,10:00:00,3517,#4FB3BF,0,496,34,
645,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,13:00:00,15:00:00,1051,#A68BFF,0,497,,
646,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,10:00:00,11:30:00,3546,#E9B949,0,498,43,
647,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,3230,#E9B949,1,498,43,
648,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,11:00:00,12:00:00,3124,#4FB3BF,0,499,34,
649,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,13:00:00,14:30:00,1897,#A68BFF,1,499,,
650,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,17:00:00,1058,#A68BFF,2,499,,
651,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,10:00:00,11:30:00,3301,#6BA368,0,500,34,
652,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,15:00:00,2308,#7AA2F7,0,501,37,
653,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,10:00:00,11:00:00,3183,#4FB3BF,0,502,34,
654,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,3255,#E9B949,1,502,43,
655,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",15:00:00,16:30:00,1666,#C88B3A,0,503,,
656,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,08:00:00,09:00:00,3216,#4FB3BF,0,504,34,
657,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,3519,#E9B949,0,505,43,
658,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,16:00:00,3218,#4FB3BF,1,505,34,
659,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:00:00,3334,#E9B949,0,506,43,
660,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,17:00:00,4287,#6BA368,1,506,34,
661,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,17:00:00,18:00:00,4021,#E9B949,2,506,43,
662,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,13:00:00,14:30:00,3293,#4FB3BF,0,507,34,
663,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,17:00:00,1018,#A68BFF,1,507,,
664,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:00:00,2093,#C88B3A,0,508,,
665,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,15:00:00,3902,#E9B949,1,508,43,
666,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",11:00:00,12:30:00,1343,#C88B3A,0,509,,
667,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,13:00:00,14:30:00,3676,#4FB3BF,1,509,34,
668,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",15:00:00,17:00:00,1455,#C88B3A,2,509,,
669,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,16:00:00,2756,#4FB3BF,0,510,34,
670,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,16:00:00,18:00:00,1208,#A68BFF,1,510,,
671,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",18:00:00,20:00:00,1800,#7AA2F7,2,510,37,
672,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,13:30:00,4519,#6BA368,0,511,34,
673,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",14:00:00,15:30:00,2705,#7AA2F7,1,511,37,
674,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,11:00:00,12:30:00,1712,#A68BFF,0,512,,
675,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,13:00:00,14:00:00,3749,#4FB3BF,1,512,34,
676,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,16:30:00,3855,#E9B949,2,512,43,
677,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,13:00:00,14:00:00,4177,#E9B949,0,513,43,
678,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",15:00:00,16:00:00,1607,#C88B3A,1,513,,
679,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,18:00:00,3389,#6BA368,2,513,34,
680,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,16:00:00,1366,#A68BFF,0,514,,
681,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,11:00:00,13:00:00,3186,#4FB3BF,0,515,34,
682,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,14:30:00,2299,#7AA2F7,1,515,37,
683,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,08:00:00,09:30:00,3248,#E9B949,0,516,43,
684,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,15:00:00,17:00:00,3310,#E9B949,0,517,43,
685,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,15:00:00,16:30:00,5375,#6BA368,0,518,34,
686,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,15:00:00,2833,#7AA2F7,0,519,37,
687,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",15:00:00,17:00:00,2713,#7AA2F7,1,519,37,
688,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,17:00:00,19:00:00,5144,#6BA368,2,519,34,
689,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,12:00:00,14:00:00,4335,#6BA368,0,520,34,
690,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:30:00,1541,#A68BFF,1,520,,
691,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",12:00:00,13:00:00,2385,#7AA2F7,0,521,37,
692,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",14:00:00,15:30:00,2911,#7AA2F7,0,522,37,
693,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,15:00:00,3660,#E9B949,0,523,43,
694,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",16:00:00,18:00:00,1840,#7AA2F7,1,523,37,
695,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",14:00:00,15:00:00,2520,#7AA2F7,0,524,37,
696,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",16:00:00,17:30:00,2058,#C88B3A,1,524,,
697,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,18:00:00,20:00:00,1652,#A68BFF,2,524,,
698,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,12:00:00,2358,#7AA2F7,0,525,37,
699,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,14:30:00,1859,#7AA2F7,1,525,37,
700,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",15:00:00,16:30:00,3169,#7AA2F7,2,525,37,
701,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,15:00:00,3357,#4FB3BF,0,526,34,
702,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,16:00:00,18:00:00,5387,#6BA368,1,526,34,
703,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,18:00:00,19:30:00,4012,#E9B949,2,526,43,
704,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,08:00:00,10:00:00,3677,#E9B949,0,527,43,
705,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,10:00:00,11:30:00,3944,#6BA368,1,527,34,
706,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,12:00:00,13:30:00,3576,#E9B949,2,527,43,
707,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",11:00:00,12:30:00,2491,#7AA2F7,0,528,37,
708,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",13:00:00,14:30:00,2663,#7AA2F7,1,528,37,
709,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",09:00:00,10:00:00,2904,#7AA2F7,0,529,37,
710,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,11:00:00,12:30:00,3259,#E9B949,1,529,43,
711,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,09:00:00,10:00:00,2463,#4FB3BF,0,530,34,
712,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,11:00:00,12:00:00,3283,#6BA368,1,530,34,
713,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,13:00:00,14:00:00,1144,#A68BFF,2,530,,
714,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,15:00:00,16:00:00,3555,#4FB3BF,0,531,34,
715,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,15:00:00,16:30:00,3155,#4FB3BF,0,532,34,
716,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,12:00:00,14:00:00,1829,#A68BFF,0,533,,
717,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,15:00:00,2555,#4FB3BF,0,534,34,
718,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,16:00:00,18:00:00,1750,#A68BFF,1,534,,
719,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,11:00:00,13:00:00,3417,#E9B949,0,535,43,
720,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,13:00:00,15:00:00,2647,#4FB3BF,1,535,34,
721,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,15:00:00,16:00:00,1255,#A68BFF,2,535,,
722,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,14:00:00,15:30:00,2541,#4FB3BF,0,536,34,
723,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,16:00:00,18:00:00,1249,#A68BFF,1,536,,
724,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,18:00:00,19:30:00,3803,#E9B949,2,536,43,
725,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",14:00:00,16:00:00,2141,#C88B3A,0,537,,
726,Мастер-класс по дыханию,Мастер-класс,"Практика для фокуса, снижения напряжения и восстановления энергии.",10:00:00,11:00:00,2868,#7AA2F7,0,538,37,
727,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,12:00:00,13:30:00,3661,#4FB3BF,1,538,34,
728,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,14:00:00,15:30:00,1376,#A68BFF,2,538,,
729,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",12:00:00,13:00:00,1377,#C88B3A,0,539,,
730,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",14:00:00,15:30:00,1699,#C88B3A,1,539,,
731,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",14:00:00,15:00:00,2212,#C88B3A,0,540,,
732,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",16:00:00,17:00:00,2198,#C88B3A,1,540,,
733,Беговой клуб,Спорт,"Легкая тренировка с акцентом на технику, темп и восстановление.",13:00:00,14:30:00,1772,#C88B3A,0,541,,
734,Волонтерская программа,Сообщество,Практические задачи в команде с поддержкой координатора.,12:00:00,13:00:00,1429,#A68BFF,0,542,,
735,Экскурсия в Братство лосей,Экскурсия,Маршрут по природной зоне с проводником и остановками в ключевых точках.,14:00:00,15:00:00,4188,#6BA368,1,542,34,
553,Чайная церемония,Авторская программа,Камерный формат с практикой внимания и спокойным ритмом.,14:00:00,15:00:00,2991,#E9B949,0,453,43,schedule_events/demo.png
736,Вечерний маршрут у воды,Экскурсия,Неспешный формат с наблюдением природы и финальной рефлексией.,16:00:00,17:30:00,3400,#4FB3BF,2,542,34,
